mouse,human
Mad2l1,MAD2L1
Depdc1a,DEPDC1
Ftsj3,FTSJ3
Sec61a1,SEC61A1
Kdm7a,KDM7A
Evx1,EVX1
Ephb4,EPHB4
Nav3,NAV3
Ctsf,CTSF
Pak2,PAK2
Trip11,TRIP11
Ptprk,PTPRK
Slc11a2,SLC11A2
Slc11a1,SLC11A1
Egr2,EGR2
Farsb,FARSB
Rrp1b,RRP1B
Ap3m1,AP3M1
Crabp2,CRABP2
Msx1,MSX1
Rgs4,RGS4
Stt3a,STT3A
Ccng2,CCNG2
Tnnt3,TNNT3
Sdc2,SDC2
Cbs,CBS
Ccnf,CCNF
Ppp1r3c,PPP1R3C
Arf5,ARF5
Fst,FST
Grwd1,GRWD1
Slc26a10,SLC26A10P
Pdcd4,PDCD4
Rab40c,RAB40C
Jph2,JPH2
Epb41l3,EPB41L3
Cad,CAD
Ranbp9,RANBP9
Sp8,SP8
Mylpf,MYL11
Lysmd3,LYSMD3
Sod2,SOD2
Crabp1,CRABP1
Grhl3,GRHL3
Ywhag,YWHAG
Pwp2,PWP2
Arpp21,ARPP21
Ypel3,YPEL3
Plod3,PLOD3
Mybbp1a,MYBBP1A
Smoc2,SMOC2
Col15a1,COL15A1
Trpm7,TRPM7
Grm6,GRM6
Cluh,CLUH
Apeh,APEH
Tacc3,TACC3
Rdh8,RDH8
Robo3,ROBO3
Clybl,CLYBL
Cdon,CDON
Ckm,CKM
Spry4,SPRY4
Mob1b,MOB1B
Zfp703,ZNF703
Ptma,PTMA
Ets1,ETS1
Slc16a1,SLC16A1
Mdk,MDK
Klhl41,KLHL41
Llgl2,LLGL2
Ephx2,EPHX2
Lmo1,LMO1
Plk1,PLK1
Tbc1d4,TBC1D4
Kars1,KARS1
Noc4l,NOC4L
Cpox,CPOX
Tgfbr2,TGFBR2
Klf6,KLF6
Ugcg,UGCG
Ccnjl,CCNJL
B3gnt7,B3GNT7
Capn9,CAPN9
Id4,ID4
Cntfr,CNTFR
Gata3,GATA3
Myog,MYOG
Glo1,GLO1
Gdf3,GDF3
Gdf1,GDF1
Zfp513,ZNF513
Gpx4,GPX4
Ezr,EZR
Dclk2,DCLK2
Marcksl1,MARCKSL1
Trim80,TRIM80P
Prdx2,PRDX2
Npm3,NPM3
Lmbr1l,LMBR1L
Bcl7a,BCL7A
Ahcyl1,AHCYL1
Hdlbp,HDLBP
Fbp1,FBP1
Dlst,DLST
Sipa1l1,SIPA1L1
Gata6,GATA6
Nfkbib,NFKBIB
Elovl6,ELOVL6
Gbx1,GBX1
Plaa,PLAA
Suclg2,SUCLG2
Pmm2,PMM2
Slc39a1,SLC39A1
Slc39a2,SLC39A2
Gmps,GMPS
Dnmt3b,DNMT3B
Gata5,GATA5
Impdh2,IMPDH2
Nucb2,NUCB2
Rock2,ROCK2
Myf5,MYF5
Snai1,SNAI1
Dlgap5,DLGAP5
Hells,HELLS
Coro1c,CORO1C
Igfbp1,IGFBP1
Higd1a,HIGD1A
Higd1c,HIGD1C
Dmd,DMD
Lars1,LARS1
Ccna2,CCNA2
Kbtbd8,KBTBD8
Tpm3,TPM3
Msi1,MSI1
Pola1,POLA1
Pbdc1,PBDC1
Pdcd11,PDCD11
Txnrd3,TXNRD3
Dio2,DIO2
Dio1,DIO1
Selenon,SELENON
Msrb1,MSRB1
Selenop,SELENOP
Gpx1,GPX1
Selenom,SELENOM
Selenow,SELENOW
Mien1,MIEN1
Selenoh,SELENOH
Selenot,SELENOT
Sephs2,SEPHS2
Nap1l1,NAP1L1
Tg,TG
Prdx3,PRDX3
Atic,ATIC
Foxi2,FOXI2
Foxi1,FOXI1
Nanos3,NANOS3
Hif1an,HIF1AN
Rab14,RAB14
Cetn4,CETN4P
E2f5,E2F5
Dnd1,DND1
Kif23,KIF23
Ucp2,UCP2
Hspa9,HSPA9
Dynll2,DYNLL2
Gorasp1,GORASP1
Uox,UOX
Msi2,MSI2
Wnt11,WNT11
Rab2a,RAB2A
Eif4ebp3,EIF4EBP3
Ggcx,GGCX
Anxa11,ANXA11
Ssr1,SSR1
Psap,PSAP
Gstm5,GSTM3
Gstm7,GSTM2
Gstm4,GSTM4
Pak1,PAK1
Rab13,RAB13
Gys2,GYS2
Tjp3,TJP3
Kdelr2,KDELR2
Otx1,OTX1
Ca9,CA9
Pip4k2c,PIP4K2C
Mvp,MVP
Dnaja4,DNAJA4
Ndrg1,NDRG1
Ica1l,ICA1L
Add1,ADD1
Smc4,SMC4
Csrp1,CSRP1
Aktip,AKTIP
Jup,JUP
Mcm6,MCM6
Rdh10,RDH10
Ptpn2,PTPN2
Zic3,ZIC3
H1f8,H1-8
Tjp1,TJP1
G6pc1,G6PC1
Tbx20,TBX20
Crx,CRX
Krt18,KRT18
Mtr,MTR
Sh3gl1,SH3GL1
Tpm2,TPM2
Mpzl2,MPZL2
Aldh18a1,ALDH18A1
Ddx27,DDX27
Efhc2,EFHC2
Aldh6a1,ALDH6A1
Zic2,ZIC2
Gpd2,GPD2
Fli1,FLI1
Pck1,PCK1
Gtpbp1,GTPBP1
Dstn,DSTN
Tktl2,TKTL2
Tkt,TKT
Tktl1,TKTL1
Ehd1,EHD1
Hspd1,HSPD1
Tsc22d2,TSC22D2
Ppib,PPIB
Gstt1,GSTT1
Gstt4,GSTT4
Gstt3,GSTT3P
Arpc1b,ARPC1B
Tfe3,TFE3
Gnai1,GNAI1
Lhx8,LHX8
Idh1,IDH1
Pah,PAH
Fen1,FEN1
Dnttip2,DNTTIP2
Abat,ABAT
Tead3,TEAD3
Eno3,ENO3
Prickle2,PRICKLE2
Fabp3,FABP3
Ufsp2,UFSP2
Lrrc15,LRRC15
Nherf1,NHERF1
Sall1,SALL1
D630003M21Rik,KIAA1755
Spout1,SPOUT1
Stap2,STAP2
Cdh17,CDH17
Celf2,CELF2
Anp32b,ANP32B
Mgll,MGLL
Nap1l4,NAP1L4
Ctsc,CTSC
Rab32,RAB32
Xbp1,XBP1
Gemin5,GEMIN5
Btg3,BTG3
Pif1,PIF1
Slc43a2,SLC43A2
Pald1,PALD1
Copg1,COPG1
Copg2,COPG2
Tuba1b,TUBA1B
Tuba1c,TUBA1C
Lmna,LMNA
Lamb1,LAMB1
mt-Nd2,ND2
Dmxl2,DMXL2
Dnajb11,DNAJB11
Cyp11a1,CYP11A1
Rgs12,RGS12
Stmn1,STMN1
Prps1l3,PRPS1
Prps1l1,PRPS1L1
Ddx21,DDX21
Cdkn1c,CDKN1C
Apc,APC
Flnb,FLNB
Cd99l2,CD99L2
Cd99,CD99
Uba5,UBA5
Aopep,AOPEP
Otp,OTP
Tent5b,TENT5B
Ptprm,PTPRM
Stk40,STK40
Shbg,SHBG
Lrig1,LRIG1
Dnajc5,DNAJC5
Mpp1,MPP1
Septin9,SEPTIN9
Ces2h,CES2
Ces3a,CES3
Ces4a,CES4A
Ces1a,CES1
Ces5a,CES5A
Cbln2,CBLN2
Crebbp,CREBBP
Cbx1,CBX1
Cbx3,CBX3
Cbx8,CBX8
Dipk2b,DIPK2B
Kyat1,KYAT1
Kyat3,KYAT3
Dixdc1,DIXDC1
Sgf29,SGF29
Dnaaf19,DNAAF19
Cfap36,CFAP36
Tektl1,TEKTL1
Ccdc106,CCDC106
Mcu,MCU
Cfap53,CFAP53
Cfap263,CFAP263
Odad1,ODAD1
Ccdc63,CCDC63
Vma22,VMA22
Ccdc120,CCDC120
Cep89,CEP89
Ccdc127,CCDC127
Itprid1,ITPRID1
Yju2b,YJU2B
Vps50,VPS50
Cfap58,CFAP58
Ccdc149,CCDC149
Odad3,ODAD3
Drc12,DRC12
Drc1,DRC1
Cfap210,CFAP210
Cfap119,CFAP119
Cfap45,CFAP45
Svbp,SVBP
Ccdc3,CCDC3
Cfap100,CFAP100
Cep83,CEP83
Ccdc42,CCDC42
Cfap73,CFAP73
Cwc25,CWC25
Ccdc50,CCDC50
Spice1,SPICE1
Washc3,WASHC3
Nsrp1,NSRP1
Coa3,COA3
Mix23,MIX23
Ccdc6,CCDC6
Bicdl2,BICDL2
Drc2,DRC2
Gpatch11,GPATCH11
Trmt13,TRMT13
Terb1,TERB1
Cenatac,CENATAC
Ccdc85c,CCDC85C
Yju2,YJU2
Cfap184,CFAP184
Cck,CCK
Cckbr,CCKBR
Ccl19,CCL19
Ccl20,CCL20
Ccl21e,CCL21
Ccl25,CCL25
Ccl5,CCL5
Ccl8,CCL8
Ccl2,CCL2
Ccl7,CCL7
Ccl24,CCL24
Ccl27a,CCL27
Ccl28,CCL28
Krit1,KRIT1
Pdcd10,PDCD10
Ccm2l,CCM2L
Ccn5,CCN5
Ccnd2,CCND2
Ccne1,CCNE1
Ccnl1,CCNL1
Ccnt2,CCNT2
Agtpbp1,AGTPBP1
Agbl2,AGBL2
Agbl5,AGBL5
Agbl4,AGBL4
Ccr3,CCR3
Ccr4,CCR4
Ccr1,CCR1
Ccr5,CCR5
Ccr2,CCR2
Ccr8,CCR8
Cx3cr1,CX3CR1
Ccr9,CCR9
Cdk20,CDK20
Ackr4,ACKR4
Noct,NOCT
Ccser2,CCSER2
Tcp1,TCP1
Itgad,ITGAD
Itgax,ITGAX
Itgam,ITGAM
Mcam,MCAM
Cd40lg,CD40LG
Cd63,CD63
Cd209e,CD209
Cd36,CD36
Cd2ap,CD2AP
Pecam1,PECAM1
Scarb2,SCARB2
Entpd5,ENTPD5
Polr1g,POLR1G
Cd247,CD247
Cd4,CD4
Itga2b,ITGA2B
Cd44,CD44
Ptprc,PTPRC
Itga2,ITGA2
Cd59b,CD59
Tfrc,TFRC
Cd74,CD74
Cd81,CD81
Cd82,CD82
Adgre1,ADGRE1
Cda,CDA
Cdc14a,CDC14A
Cdk1,CDK1
Cdk13,CDK13
Cdk19,CDK19
Cnot1,CNOT1
Cdc42,CDC42
Cdc42ep5,CDC42EP5
Cdc42ep4,CDC42EP4
Cdc45,CDC45
Vcp,VCP
Cdca7,CDCA7
Cdca7l,CDCA7L
Cdh10,CDH10
Cdh9,CDH9
Cdh12,CDH12
Cdh18,CDH18
Cdh26,CDH26
Cdh7,CDH7
Cdhr1,CDHR1
Cdh11,CDH11
Cdk5r1,CDK5R1
Cdk5r2,CDK5R2
Cdkn1b,CDKN1B
Xtbd1,XTBD1
Cdkn2a,CDKN2A
Cdk5rap3,CDK5RAP3
M6pr,M6PR
Espl1,ESPL1
Ift81,IFT81
Slc44a1,SLC44A1
Sass6,SASS6
Cebpd,CEBPD
Cebpg,CEBPG
Hdhd5,HDHD5
Tmem121b,TMEM121B
Get4,GET4
Celf3,CELF3
Cnbp,CNBP
Zcchc13,ZCCHC13
Celsr1,CELSR1
Celsr2,CELSR2
Odf2,ODF2
Cpap,CPAP
Cep170,CEP170
Cep170b,CEP170B
Cdk5rap2,CDK5RAP2
Cep55,CEP55
Cpeb1,CPEB1
Cept1,CEPT1
Cp,CP
Thra,THRA
Cers3,CERS3
Tbl3,TBL3
Cfd,CFD
F13b,F13B
Cfl1,CFL1
Cflar,CFLAR
Rflna,RFLNA
Csf1r,CSF1R
Cxxc1,CXXC1
Mib1,MIB1
Cgas,CGAS
Tmed5,TMED5
Vit,VIT
Elfn2,ELFN2
Samd3,SAMD3
Nhsl1,NHSL1
Crtc1,CRTC1
L3mbtl3,L3MBTL3
Ch25h,CH25H
Hes5,HES5
Epb41,EPB41
Cer1,CER1
Dand5,DAND5
Vps13a,VPS13A
Disp1,DISP1
Synpo2l,SYNPO2L
Cct2,CCT2
Cct3,CCT3
Cct7,CCT7
Churc1,CHURC1
Chchd10,CHCHD10
Chchd3,CHCHD3
Chchd4,CHCHD4
Lypd6b,LYPD6B
Chrd,CHRD
Chit1,CHIT1
Chil4,CHIA
Ovgp1,OVGP1
Stub1,STUB1
Rax,RAX
Chek1,CHEK1
Chek2,CHEK2
Chrdl2,CHRDL2
Chmp2b,CHMP2B
Chmp5,CHMP5
Chmp6,CHMP6
Meox1,MEOX1
Ddit3,DDIT3
Chordc1,CHORDC1
Slc6a8,SLC6A8
Chp1,CHP1
Mlxipl,MLXIPL
Mlxip,MLXIP
Chrm1,CHRM1
Chrm2,CHRM2
Chrm5,CHRM5
Chrna10,CHRNA10
Chrna2,CHRNA2
Chrna4,CHRNA4
Chrna9,CHRNA9
Chrnb2,CHRNB2
Chrnb4,CHRNB4
Chrnb3,CHRNB3
Chst15,CHST15
Tmem231,TMEM231
Nid2,NID2
U2af1,U2AF1
Ddx55,DDX55
Smo,SMO
Rpl35,RPL35
Sdad1,SDAD1
Med29,MED29
Utp25,UTP25
Copz1,COPZ1
Hnf1b,HNF1B
Smarca5,SMARCA5
Snrpd1,SNRPD1
Ppp1r10,PPP1R10
Pole2,POLE2
Taf7,TAF7
Taf7l,TAF7L
Atp6v1h,ATP6V1H
Uxs1,UXS1
Nodal,NODAL
Zcchc7,ZCCHC7
Csnk1a1,CSNK1A1
Rps18-ps6,RPS18
Sf3b4,SF3B4
Terf2,TERF2
Ttc27,TTC27
Rpl24,RPL24
Snrpc,SNRPC
Phf5a,PHF5A
Mcm7,MCM7
Ddx54,DDX54
Ddx19a,DDX19A
Ddx19b,DDX19B
Ints7,INTS7
Hdac1,HDAC1
Gpc4,GPC4
Odc1,ODC1
Mak16,MAK16
Tsr2,TSR2
Wnt5b,WNT5B
Vps18,VPS18
Slc25a5,SLC25A5
Rps5,RPS5
Atm,ATM
Slit1,SLIT1
Alk,ALK
Chsy1,CHSY1
Pierce1,PIERCE1
Cic,CIC
Igf2r,IGF2R
Sh3kbp1,SH3KBP1
Cdkn1a,CDKN1A
Cirsr,CIRSR
Rbm3,RBM3
Cirbp,CIRBP
Utp4,UTP4
Golga2,GOLGA2
Cish,CISH
Cit,CIT
Ciz1,CIZ1
Jun,JUN
Csnk2a2,CSNK2A2
Csnk2b,CSNK2B
Tbcb,TBCB
Krt5,KRT5
Plekho1,PLEKHO1
Kit,KIT
Ckmt2,CKMT2
Cldn10,CLDN10
Cldn6,CLDN6
Cldn9,CLDN9
Clcn2,CLCN2
Clcn5,CLCN5
Cldn11,CLDN11
Tmem47,TMEM47
Cldn15,CLDN15
Cldn8,CLDN8
Cldn1,CLDN1
Cldn23,CLDN23
Cldn5,CLDN5
Cldn17,CLDN17
Cldn3,CLDN3
Cstf3,CSTF3
Clec4f,CLEC4F
Crlf1,CRLF1
Crlf3,CRLF3
Clic5,CLIC5
Clic3,CLIC3
Pdlim1,PDLIM1
Clint1,CLINT1
Clip1,CLIP1
Clock,CLOCK
Clk4,CLK4
Clmn,CLMN
Tpp1,TPP1
Cln6,CLN6
Npas2,NPAS2
Pasd1,PASD1
Txndc17,TXNDC17
Clpx,CLPX
Sox10,SOX10
Clstn2,CLSTN2
Cacna1c,CACNA1C
Maf,MAF
Cmas,CMAS
Met,MET
Myl7,MYL7
Mos,MOS
Mpl,MPL
Sbf2,SBF2
Xirp1,XIRP1
Cmya5,CMYA5
Myb,MYB
Myc,MYC
Cnga1,CNGA1
Cnga2,CNGA2
Cnga3,CNGA3
Cngb3,CNGB3
Eml1,EML1
Cnih1,CNIH1
Plk3,PLK3
Cnksr2,CNKSR2
Cnn3,CNN3
Cnnm2,CNNM2
Bloc1s4,BLOC1S4
Cnot3,CNOT3
Cnot6,CNOT6
Nppc,NPPC
Cnp,CNP
Cnrip1,CNRIP1
Cnst,CNST
Cntn1,CNTN1
Cntn3,CNTN3
Cntnap2,CNTNAP2
Cntnap4,CNTNAP4
Cobll1,COBLL1
Nelfb,NELFB
Ebf2,EBF2
mt-Co1,COX1
mt-Co2,COX2
mt-Co3,COX3
Col10a1,COL10A1
Col11a2,COL11A2
Col5a3,COL5A3
Col11a1,COL11A1
Col12a1,COL12A1
Col17a1,COL17A1
Col28a1,COL28A1
Col2a1,COL2A1
Cert1,CERT1
Col5a2,COL5A2
Col6a5,COL6A5
Col6a6,COL6A6
Col7a1,COL7A1
Col8a1,COL8A1
Col22a1,COL22A1
Colgalt1,COLGALT1
Colgalt2,COLGALT2
Sftpd,SFTPD
Mbl1,MBL1P
Mbl2,MBL2
Gldn,GLDN
C1ql4,C1QL4
Clec14a,CLEC14A
Comtd1,COMTD1
Ogt,OGT
Rcor1,RCOR1
Coro2a,CORO2A
Coro2b,CORO2B
Cort,CORT
Kif7,KIF7
Nr2f6,NR2F6
Nr2f1,NR2F1
Nr2f2,NR2F2
Ptgs1,PTGS1
Ptgs2,PTGS2
Cox4i1,COX4I1
Cox4i2,COX4I2
Emc8,EMC8
Cox5b,COX5B
Cox7a2l,COX7A2L
Cox8a,COX8A
Cpd,CPD
Cadps2,CADPS2
Cpeb4,CPEB4
Nrn1,NRN1
Ptges3,PTGES3
Ppp1r14a,PPP1R14A
Pla2g4a,PLA2G4A
Cplx2,CPLX2
Cplx3,CPLX3
Hspe1,HSPE1
Cpne1,CPNE1
Cpne4,CPNE4
Cpne5,CPNE5
Ints11,INTS11
Nudt21,NUDT21
Cps1,CPS1
Cpt1a,CPT1A
Cpt1b,CPT1B
Cpt1c,CPT1C
Cbr1,CBR1
Fam131b,FAM131B
Clcn1,CLCN1
Cracdl,CRACDL
Raf1,RAF1
Rlbp1,RLBP1
Cramp1,CRAMP1
Crb2,CRB2
Rbp2,RBP2
Creb1,CREB1
Creb3l3,CREB3L3
Creb3,CREB3
Creb5,CREB5
Rel,REL
Ret,RET
Crh,CRH
Ifngr1,IFNGR1
Ifnar2,IFNAR2
Ifnlr1,IFNLR1
Il22ra1,IL22RA1
Il10rb,IL10RB
Ifnar1,IFNAR1
Ifngr2,IFNGR2
Il10ra,IL10RA
Il20ra,IL20RA
Il22ra2,IL22RA2
Crhbp,CRHBP
Crhr2,CRHR2
Crispld1,CRISPLD1
Crmp1,CRMP1
Dpysl2,DPYSL2
Dpysl4,DPYSL4
Dpysl3,DPYSL3
Dpysl5,DPYSL5
Ros1,ROS1
Bmper,BMPER
Crp,CRP
Apcs,APCS
Mptx1,MPTX1
Med24,MED24
Med14,MED14
Med23,MED23
Med27,MED27
Med17,MED17
Med7,MED7
Hapln1,HAPLN1
Sec23a,SEC23A
Cry1,CRY1
Cry2,CRY2
Cryab,CRYAB
Cryba1,CRYBA1
Cryga,CRYGA
Crygc,CRYGC
Cryge,CRYGD
Crygb,CRYGB
Crygs,CRYGS
Ercc8,ERCC8
Ccsap,CCSAP
Ercc6,ERCC6
Csdc2,CSDC2
Kcnip3,KCNIP3
Csf1,CSF1
Csf3,CSF3
Csgalnact1,CSGALNACT1
Csmd1,CSMD1
Csnk1d,CSNK1D
Csnk1g2,CSNK1G2
Vcan,VCAN
Ncan,NCAN
Cspg4b,CSPG4BP
Cspg5,CSPG5
Smc3,SMC3
Casq1,CASQ1
Kat14,KAT14
Csrp3,CSRP3
Cstb,CSTB
Stfa2,CSTA
Cstf2,CSTF2
Ctbp1,CTBP1
Ctbp2,CTBP2
Ctdnep1,CTDNEP1
Ctdspl2,CTDSPL2
Ccn2,CCN2
Ctla4,CTLA4
Tnnc1,TNNC1
Ctnnb1,CTNNB1
Ctnnd2,CTNND2
Atp6v0d1,ATP6V0D1
Ctps2,CTPS2
Calcr,CALCR
Slc31a1,SLC31A1
Ctrl,CTRL
Ctsb,CTSB
Ctse,CTSE
Ctss,CTSS
Cttnbp2nl,CTTNBP2NL
Atp11b,ATP11B
Cenpw,CENPW
Cul1,CUL1
Cul3,CUL3
Cul5,CUL5
Pkd2,PKD2
Ift57,IFT57
2210016L21Rik,C12orf43
Cux1,CUX1
Cux2,CUX2
Sod1,SOD1
Gje1,GJE1
Gjb1,GJB1
Gjb5,GJB5
Gjb2,GJB2
Gjb6,GJB6
Gjd2,GJD2
Gjb4,GJB4
Gjb3,GJB3
Gja4,GJA4
Gja1,GJA1
Gja5,GJA5
Gja3,GJA3
Gja8,GJA8
Gjd4,GJD4
Gjc2,GJC2
Gja10,GJA10
Gjc1,GJC1
Cxcl11,CXCL11
Cxcl9,CXCL9
Cxcl12,CXCL12
Ppbp,PPBP
Cxcr3,CXCR3
Ackr3,ACKR3
Radx,RADX
Cxxc5,CXXC5
Cyfip1,CYFIP1
Cyb561a3,CYB561A3
Cycs,CYCS
Cyct,CYCTP
Ppia,PPIA
Cygb,CYGB
Zftraf1,ZFTRAF1
Cyld,CYLD
Cyp17a1,CYP17A1
Cyp1a2,CYP1A2
Cyp1a1,CYP1A1
Cyp24a1,CYP24A1
Cyp26c1,CYP26C1
Cyp2j7,CYP2J2
Cyp3a57,CYP3A43
Cyp3a44,CYP3A5
Cyp46a1,CYP46A1
Cyp4f39,CYP4F22
Cyp4f13,CYP4F8
Cyp4f18,CYP4F3
Cyp4f15,CYP4F2
Cyp4v3,CYP4V2
Cyp7a1,CYP7A1
Cyp7b1,CYP7B1
Cyp8b1,CYP8B1
Ldb3,LDB3
Ccn1,CCN1
mt-Cytb,CYTB
Cyth1,CYTH1
Cyth3,CYTH3
Specc1l,SPECC1L
Drd1,DRD1
Drd5,DRD5
Snx1,SNX1
Dio3,DIO3
Chst14,CHST14
Daam1,DAAM1
Dab1,DAB1
Dab2ip,DAB2IP
Fbxw4,FBXW4
Dach2,DACH2
Dach1,DACH1
Ext2,EXT2
Dact2,DACT2
Fgf10,FGF10
Dag1,DAG1
Tkfc,TKFC
Hcst,HCST
Tyrobp,TYROBP
Dap,DAP
Dapk2,DAPK2
Dact1,DACT1
Dars1,DARS1
Asb11,ASB11
Slc6a3,SLC6A3
Dido1,DIDO1
Nr0b1,NR0B1
Fam50b,FAM50B
Fam50a,FAM50A
Eef1g,EEF1G
Hsd17b4,HSD17B4
Gc,GC
Dbp,DBP
Dcn,DCN
Dclk1,DCLK1
Dchs1,DCHS1
Eci1,ECI1
Asap3,ASAP3
Asap2,ASAP2
Ddhd1,DDHD1
Ints6l,INTS6L
Ints6,INTS6
Ddx3y,DDX3Y
Ddx3x,DDX3X
Ddx39a,DDX39A
Eif4a3l1,EIF4A3
Rigi,RIGI
Plcg1,PLCG1
Adat2,ADAT2
Nup93,NUP93
Ddx51,DDX51
Notch1,NOTCH1
Degs1l,DEGS1
Trp63,TP63
Dennd2d,DENND2D
Dennd6a,DENND6A
Ptprj,PTPRJ
Deptor,DEPTOR
Depdc7,DEPDC7
Twist2,TWIST2
Desi1,DESI1
Gli1,GLI1
Fgf20,FGF20
Kctd8,KCTD8
Gsdme,GSDME
Whrn,WHRN
Pjvk,PJVK
Has2,HAS2
Dgat1,DGAT1
Ess2,ESS2
Enpp1,ENPP1
Hand2,HAND2
Dnah11,DNAH11
Dhdh,DHDH
Qdpr,QDPR
Dhrs13,DHRS13
Dhrs2,DHRS2
Dhrs3,DHRS3
Dhrs7c,DHRS7C
Cyb5r1,CYB5R1
Atp5mk,ATP5MK
Diablo,DIABLO
Diaph2,DIAPH2
Dkk3,DKK3
Scn7a,SCN7A
Scn1a,SCN1A
Scn2a,SCN2A
Scn3a,SCN3A
Scn9a,SCN9A
Cacnb1,CACNB1
Dip2b,DIP2B
Dip2c,DIP2C
Diras1,DIRAS1
Slc49a4,SLC49A4
Park7,PARK7
Cenpl,CENPL
Pax4,PAX4
Nek1,NEK1
Adgb,ADGB
Armc2,ARMC2
Itsn2,ITSN2
Ncoa1,NCOA1
Sytl3,SYTL3
Scml4,SCML4
Sh2b3,SH2B3
Noc2l,NOC2L
Rbm48,RBM48
Dkk1,DKK1
Tnfsf10,TNFSF10
Dlg1,DLG1
Mpp7,MPP7
Dlg4,DLG4
Dlg5,DLG5
Dlgap1,DLGAP1
Dlgap4,DLGAP4
Hjv,HJV
Dlx1,DLX1
Dlx2,DLX2
Dlx3,DLX3
Dlx5,DLX5
Dlx6,DLX6
Dlx4,DLX4
Plp1,PLP1
Gpm6a,GPM6A
Dmbx1,DMBX1
Gpm6b,GPM6B
Dmrt2,DMRT2
Dmrt3,DMRT3
Dmrta2,DMRTA2
Dnah9,DNAH9
Dnai1,DNAI1
Dnaja1,DNAJA1
Dnaja2,DNAJA2
Dnajc21,DNAJC21
Dnajb1,DNAJB1
Dnajb12,DNAJB12
Dnajb6,DNAJB6
Dnajc11,DNAJC11
Dnajc3,DNAJC3
Dnajc5g,DNAJC5G
Polb,POLB
Dnase1l3,DNASE1L3
Dnm2,DNM2
Dnm3,DNM3
Trdmt1,TRDMT1
Dnmt3a,DNMT3A
Dock9,DOCK9
Eya1,EYA1
Dok7,DOK7
Cyp26b1,CYP26B1
Copb2,COPB2
Dop1a,DOP1A
Dop1b,DOP1B
Cacna2d3,CACNA2D3
Cbarp,CBARP
Dnajc24,DNAJC24
Dpyd,DPYD
Or10j3b,OR10J3
Or4e2,OR4E2
Or4e1,OR4E1
Or52p1,OR52P1
Or51e1,OR51E1
Or52r1c,OR52R1
Or52b4,OR52B4
Or52n5,OR52N5
Or51b6b,OR51B6
Or52n4,OR52N4
Or52b2,OR52B2
Or4c115,OR4C15
Or4d10,OR4D10
Or10d4c,OR10D4P
Or52m1,OR52M1
Or52e3,OR52E2
Or51v14,OR51V1
Or51k7,OR51J1
Or51d1,OR51D1
Or56b2j,OR56B2
Or52a5,OR52A5
Or10k2,OR10K2
Or10j2,OR10J1
Or7g16,OR7G2
Or5ac19,OR5AC1
Or8g32,OR8G1
Or1r1,OR1R1
Or13g1,OR13G1
Or12d17,OR12D3
Or1p1,OR1P1
Or4c10b,OR4C46
Or4s2b,OR4S2
Or4b1,OR4B1
Or4k15,OR4K15
Or4p4,OR4P4
Or4x18,OR4X2
Or4c35,OR4C5
Or4a15,OR4A15
Or4k1,OR4K1
Or4c106,OR4C13
Or4c29,OR4C16
Or4k5,OR4K5
Or1b1,OR1B1
Or1f12,OR1F12P
Or6k6,OR6K6
Or5b108,OR5B3
Or4a71,OR4A16
Or8s2,OR8S1
Or4c127,OR4C45
Or4l1,OR4L1
Or2a25,OR2A25
Or1j1,OR1J1
Or4c102,OR4C6
Or4f6,OR4F6
Or7e178,OR7E24
Or4n5,OR4N5
Or1l8,OR1L8
Or2a5,OR2A5
Or2a54,OR2A14
Or1q1,OR1Q1
Or5b12b,OR5B12
Or2a52,OR2A2
Or5b21,OR5B21
Or4c3,OR4C3
Or7g29,OR7G1
Or2a12,OR2A12
Or5b99,OR5B2
Or51h1,OR51H1
Or51i2,OR51I2
Or51i1,OR51I1
Or1n1b,OR1N1
Or1n2,OR1N2
Or1m1,OR1M1
Or1i2,OR1I1
Or2at4,OR2AT4
Or1ad6,OR1C1
Or7d10,OR7D4
Or11g24,OR11G2
Or11h4b,OR11H4
Or11h6,OR11H6
Or11a4,OR11A1
Or13c7c,OR13C7
Or10b1,OR10T2
Or4p21,OR4K3
Or13f5,OR13F1
Or13d1,OR13D1
Or2y1c,OR2Y1
Or2w6,OR2W6P
Or14c44,OR14C36
Or2d36,OR2D3
Or14j1,OR14J1
Or2b2b,OR2B2
Or6k4,OR6K3
Or6k2,OR6K2
Tnfrsf21,TNFRSF21
Glb1l2,GLB1L2
Glb1l3,GLB1L3
Plvap,PLVAP
Fech,FECH
Adar,ADAR
Adpgk,ADPGK
Col4a5,COL4A5
Rgmb,RGMB
Dram2,DRAM2
Draxin,DRAXIN
Rbm45,RBM45
Drd2,DRD2
Drd4,DRD4
Fads2b,FADS2B
Fads3,FADS3
Fads2,FADS2
Fads1,FADS1
Sufu,SUFU
Mir140,MIR140
Mir142,MIR142
Mir146,MIR146A
Mir150,MIR150
Mir17,MIR17
Mir18,MIR18A
Mir451a,MIR451A
Mir499,MIR499A
Mir9-1,MIR9-1
Mir92-1,MIR92A1
Mir9-3,MIR9-3
Srf,SRF
Npy2r,NPY2R
Mpo,MPO
Lpo,LPO
Epx,EPX
Npvf,NPVF
Drgx,DRGX
Lgals1,LGALS1
Lgals2,LGALS2
Lgals3,LGALS3
Hk1,HK1
Hk2,HK2
Il4ra,IL4R
Chrm3,CHRM3
Chrm4,CHRM4
Fstl5,FSTL5
